epoch,train_loss,val_loss,recall,ndcg
0,-0.6972296237945557,-0.6899280548095703,0.1050008090167799,0.10823441747941655
1,-0.7203341126441956,-0.6747746467590332,0.10684877014513491,0.11205431534637228
2,-0.7618269920349121,-0.6445032954216003,0.10883556088382762,0.11642713359958984
3,-0.8533468842506409,-0.5985523462295532,0.11051908376508943,0.11352991138880847
4,-1.0344390869140625,-0.5402535200119019,0.11178125535695448,0.11344121891899574
5,-1.318955421447754,-0.4759732782840729,0.10486676504994252,0.1111485621811867
6,-1.544814944267273,-0.40554749965667725,0.11160453579730432,0.11339042778778764
7,-2.0237157344818115,-0.3462495803833008,0.10875769323596451,0.11208646713510467
8,-2.3255317211151123,-0.2941674590110779,0.10873747021428906,0.11350852996406073
9,-2.8842010498046875,-0.2242976427078247,0.11014854859013172,0.11378944458493544
10,-3.2258803844451904,-0.1859908103942871,0.11045657107166174,0.11375050435516217
11,-4.180058002471924,-0.12323784828186035,0.11165474980358694,0.11454209752972377
12,-4.410439491271973,-0.08913493156433105,0.1113366428929669,0.11272209464718824
13,-5.387416362762451,-0.02381753921508789,0.11067566899840055,0.11274197703002388
14,-5.857646465301514,-0.011568069458007812,0.11114494374699456,0.11442425329488168
15,-6.1071882247924805,0.07999062538146973,0.11063450712331754,0.11394894781064391
16,-7.403117656707764,0.14502954483032227,0.11201028986446201,0.11475675831677751
17,-7.846890449523926,0.1606733798980713,0.11024004989434273,0.1126463882365788
18,-8.804279327392578,0.22550630569458008,0.11244103221597151,0.1135101229811602
19,-9.985122680664062,0.26072120666503906,0.11082373704553752,0.11298889195313526
20,-10.263640403747559,0.3310432434082031,0.11231258460740655,0.11494297206088656
21,-11.533976554870605,0.34652233123779297,0.11139921819485375,0.11446446947233356
22,-12.73921012878418,0.3961524963378906,0.11220176548695804,0.1146275151362564
23,-13.058655738830566,0.4491844177246094,0.11045819793651097,0.11399846886668913
24,-13.305960655212402,0.5387358665466309,0.11159283845926764,0.1142525308192166
25,-15.734383583068848,0.6278619766235352,0.11014445108263662,0.11381913653287254
26,-15.317803382873535,0.6816196441650391,0.11102665041058689,0.11414406980418138
27,-14.900885581970215,0.7147073745727539,0.11121505528774302,0.11429004898917851
28,-19.330549240112305,0.8276371955871582,0.11122528514355465,0.11432788197838224
29,-19.089962005615234,0.8083891868591309,0.11162651099486307,0.11450248853638677
30,-19.56415557861328,0.9218521118164062,0.11109448047942067,0.11430832331579599
